,hashtags,contents,images,location_info,location_href,date_text,date_time,date_title,upload_id
0,"['nycartventures', 'contemporaryart', 'art', 'contemporary', 'gallery', 'museum', 'artist', 'artistsoninstagram', 'artoftheday', 'abstractart', 'minimalistart', 'minimalism', 'loveart', 'handmade', 'colors', 'instaart', 'beautiful', 'artcollection', 'sculpture', 'contemporarycraft', 'studio', 'sculptures', 'geometricabstraction', 'colour', 'form', 'fold', 'geometricart', 'abstractsculpture']","nycartventuresDiscover @katrinaadamsart and follow @nycartventures for more contemporary art from around the world 🌍!Katrina is a UK based visual artist; creating bold abstract sculpture, prints & murals which draw viewers into their own journey of discovery.#nycartventures#contemporaryart#art#contemporary#gallery#museum#artist#artistsoninstagram#artoftheday#abstractart#minimalistart#minimalism#loveart#handmade#colors#instaart#beautiful#artcollection#sculpture#contemporarycraft#studio#sculptures#geometricabstraction#colour#form#fold#geometricart#abstractsculpture2시간","['https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275774027_3006546009562617_4032583597569949015_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MhmnWBpELlcAX_TD_6N&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU1MzIxNzAwNDY1NzM5OA%3D%3D.2-ccb7-4&oh=00_AT-gf_iS1jCox662qaK7cSzHcwIMcArY0wT0AFLjUQEp7A&oe=6236A817&_nc_sid=30a2ef', 'https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275774027_3006546009562617_4032583597569949015_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MhmnWBpELlcAX_TD_6N&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU1MzIxNzAwNDY1NzM5OA%3D%3D.2-ccb7-4&oh=00_AT-gf_iS1jCox662qaK7cSzHcwIMcArY0wT0AFLjUQEp7A&oe=6236A817&_nc_sid=30a2ef', 'https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275774027_3006546009562617_4032583597569949015_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MhmnWBpELlcAX_TD_6N&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU1MzIxNzAwNDY1NzM5OA%3D%3D.2-ccb7-4&oh=00_AT-gf_iS1jCox662qaK7cSzHcwIMcArY0wT0AFLjUQEp7A&oe=6236A817&_nc_sid=30a2ef', 'https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275774027_3006546009562617_4032583597569949015_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MhmnWBpELlcAX_TD_6N&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU1MzIxNzAwNDY1NzM5OA%3D%3D.2-ccb7-4&oh=00_AT-gf_iS1jCox662qaK7cSzHcwIMcArY0wT0AFLjUQEp7A&oe=6236A817&_nc_sid=30a2ef', 'https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275774027_3006546009562617_4032583597569949015_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MhmnWBpELlcAX_TD_6N&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU1MzIxNzAwNDY1NzM5OA%3D%3D.2-ccb7-4&oh=00_AT-gf_iS1jCox662qaK7cSzHcwIMcArY0wT0AFLjUQEp7A&oe=6236A817&_nc_sid=30a2ef']",런던,https://www.instagram.com/explore/locations/213385402/,2시간,2022-03-14T05:58:36.000Z,2022년 3월 14일,nycartventures
1,"['art', 'arte', 'lilybris', 'illustration', 'illustrazione', 'lunedi', 'monday', 'mondaymood', 'love', 'amore', 'sketch', 'sketchbook', 'doodle', 'disegno', 'drawing']",lilybrisLundi est arrivé._#art #arte #lilybris #illustration #illustrazione #lunedi #monday #mondaymood #love #amore #sketch #sketchbook #doodle #disegno #drawing56분,['https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275636492_390471069096372_4309315756247811304_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=0GEvxQn-TUIAX_uO_bs&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU5OTYzMDEzMjU5MTU5Nw%3D%3D.2-ccb7-4&oh=00_AT9YA5V3qCY5YZEmOA9NZaP4AZB8OdXrFgW7j8fP1IIuZA&oe=6236C529&_nc_sid=30a2ef'],,,56분,2022-03-14T07:30:48.000Z,2022년 3월 14일,lilybris
2,"['живопись', 'картина', 'пейзаж', 'этюды', 'art', 'artsysoev', 'sysoev', 'realism', 'imressionism', 'russian', 'kolleksiyoner', 'theoriginals', 'gallery', 'painting', 'nature', 'picture', 'studio', 'artmagazines', 'ещевполяхбелеетснег', 'русскоеполе', 'русскаявесна', 'скоропосевная', 'март']","dmitri_sysoev""Ещё в полях белеет снег..."" х.м. 50х70 см. #живопись #картина #пейзаж #этюды #art #artsysoev #sysoev #realism #imressionism #russian #kolleksiyoner #theoriginals #gallery #painting #nature #picture #studio ##artmagazines #ещевполяхбелеетснег #русскоеполе #русскаявесна #скоропосевная #март2시간",['https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275707489_931696304164103_2104489474089239830_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=cLny5ugl0HUAX8Alyv1&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU0NDM5MjkzNDMyOTY5Mg%3D%3D.2-ccb7-4&oh=00_AT_EgEzgikIoIuxZmkH8LG_kFbPoJshTcgvzoAzHeO4wsw&oe=6235150A&_nc_sid=30a2ef'],Сызрань Самарская Область,https://www.instagram.com/explore/locations/519324275/,2시간,2022-03-14T05:41:04.000Z,2022년 3월 14일,dmitri_sysoev
