,hashtags,contents,images,location_info,location_href,date_text,date_time,date_title,upload_id
0,"['живопись', 'картина', 'пейзаж', 'этюды', 'art', 'artsysoev', 'sysoev', 'realism', 'imressionism', 'russian', 'kolleksiyoner', 'theoriginals', 'gallery', 'painting', 'nature', 'picture', 'studio', 'artmagazines', 'ещевполяхбелеетснег', 'русскоеполе', 'русскаявесна', 'скоропосевная', 'март']","dmitri_sysoev""Ещё в полях белеет снег..."" х.м. 50х70 см. #живопись #картина #пейзаж #этюды #art #artsysoev #sysoev #realism #imressionism #russian #kolleksiyoner #theoriginals #gallery #painting #nature #picture #studio ##artmagazines #ещевполяхбелеетснег #русскоеполе #русскаявесна #скоропосевная #март3시간",['https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275707489_931696304164103_2104489474089239830_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=cLny5ugl0HUAX8Alyv1&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU0NDM5MjkzNDMyOTY5Mg%3D%3D.2-ccb7-4&oh=00_AT_EgEzgikIoIuxZmkH8LG_kFbPoJshTcgvzoAzHeO4wsw&oe=6235150A&_nc_sid=30a2ef'],Сызрань Самарская Область,https://www.instagram.com/explore/locations/519324275/,3시간,2022-03-14T05:41:04.000Z,2022년 3월 14일,dmitri_sysoev
1,"['jaimecalderon', 'escolafemart', 'artwork', 'drawing', 'illustration', 'BD', 'bdart', 'creatibe', 'art', 'artistcomic', 'comic', 'instaart']",jaimecalderondibujanteLas cosas de palacio….#jaimecalderon #escolafemart #artwork #drawing #illustration #BD #bdart #creatibe #art #artistcomic #comic #instaart1시간,['https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275676791_1406549179785451_4268839214885706221_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=LHDHXOitaQkAX9Q4Sew&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU4OTg2MzMwNjM3MTkwOQ%3D%3D.2-ccb7-4&oh=00_AT8LGgQFyiXO3Opqrjzpomq0zaPeZusbZzF4mbVzYFiCuw&oe=623605A9&_nc_sid=30a2ef'],,,1시간,2022-03-14T07:11:24.000Z,2022년 3월 14일,jaimecalderondibujante
2,"['Repost', 'art', 'arte', 'art_spotlight', 'artworld_daily', 'artrequest', 'artaccount', 'retroart', 'arttips', 'ballpointpenart', 'cuteartwork', 'originalcharacterart', 'graphiteart', 'dailyartistiq', 'artflix', 'artistsoninstagram', 'arts_helps', 'artistic', 'artist', 'artwork', 'artoftheday']","artwarriors_#Repost @victorria.art• • • • • •I’m very hurt by what is happening.Everything inside me is torn when I see these monstrous footage on the news.Any death is terrible. I wouldn’t wish this even on my enemy, if I had him.No one deserves to die by someone else's will, no one has the right to take lives. No one has the right to keep people in fear and make their life unbearable.We are against this war. We are against all wars on the planet.What has already happened, of course, cannot be canceled, but further tragedies can be prevented. And I will pray that this ends as soon as possible.#art #arte #art_spotlight #artworld_daily #artrequest #artaccount #retroart #arttips #ballpointpenart #cuteartwork #originalcharacterart #graphiteart #dailyartistiq #artflix #artistsoninstagram #arts_helps #artistic #artist #artwork #artoftheday1시간",['https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/275776117_388766722684598_8812114371844763077_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Kwlp-b8nOVsAX8gHbBU&edm=ALQROFkBAAAA&ccb=7-4&ig_cache_key=Mjc5MzU4MjY5MDYxMDUwMDI5Mw%3D%3D.2-ccb7-4&oh=00_AT9vmhLwc3HWnBwgIXan7V7zKT5H6gsYA5IrDdqQffDwSg&oe=62361AF6&_nc_sid=30a2ef'],,,1시간,2022-03-14T06:57:09.000Z,2022년 3월 14일,artwarriors_
